Frame,Centre,nose,left eye(inner),left eye,left eye(outer),right eye(inner),right eye,right eye(outer),left ear,right ear,mouth(left),mouth(right),left shoulder,right shoulder,left elbow,right elbow,left wrist,right wrist,left pinky,right pinky,left index,right index,left thumb,right thumb,left hip,right hip,left knee,right knee,left ankle,right ankle,left heel,right heel,left foot index,right foot index
2.0,0.5344811424061104/0.6099663553414522/0.012723013163647719,0.5387150645256042/0.45032232999801636/0.0760221779346466,0.5358656644821167/0.441751092672348/0.06406456977128983,0.5341987013816833/0.4417744278907776/0.0640585869550705,0.5325326323509216/0.4418293237686157/0.06403807550668716,0.5392448902130127/0.44139379262924194/0.05461748689413071,0.5401434898376465/0.44114285707473755/0.05458242446184158,0.5410656332969666/0.4409130811691284/0.054509423673152924,0.5263361930847168/0.4467426836490631/0.04323625564575195,0.5391886830329895/0.4457496404647827/-0.0016268675681203604,0.5353646278381348/0.45927414298057556/0.07323615998029709,0.5389192700386047/0.44901344180107117/0.059893347322940826,0.5101087689399719/0.5005345940589905/0.04539875686168671,0.540166437625885/0.49190646409988403/-0.034973349422216415,0.498555988073349/0.5360778570175171/0.10986404120922089,0.5645960569381714/0.5162481069564819/-0.12925609946250916,0.5071901679039001/0.5159926414489746/0.19178083539009094,0.5552150011062622/0.494120329618454/-0.21182768046855927,0.5056794285774231/0.5170727372169495/0.19505906105041504,0.5524289608001709/0.49295324087142944/-0.2325197458267212,0.510212242603302/0.5116835236549377/0.1911972314119339,0.5494529604911804/0.49205127358436584/-0.23351378738880157,0.5127391815185547/0.5111711621284485/0.19158624112606049,0.5504215359687805/0.49238327145576477/-0.2150036096572876,0.5268313884735107/0.6556349992752075/0.03008449636399746,0.5242239236831665/0.6512252688407898/-0.030085284262895584,0.5577702522277832/0.7695938944816589/0.0034055295400321484,0.5193014144897461/0.7669729590415955/-0.03409498929977417,0.5703223347663879/0.8706378936767578/0.07872645556926727,0.5158995389938354/0.8693457841873169/0.05098684877157211,0.5693569183349609/0.8736077547073364/0.08219900727272034,0.5107504725456238/0.871897280216217/0.055328596383333206,0.5793197751045227/0.9113022089004517/0.008682078681886196,0.5219242572784424/0.9055761098861694/-0.02026435174047947
3.0,0.5361109309726291/0.6074525857413257/0.06366231474439027,0.5430706739425659/0.4178166091442108/0.05160347372293472,0.5385081171989441/0.4063754081726074/0.04047124460339546,0.5371729135513306/0.4059830904006958/0.040470559149980545,0.5358390212059021/0.40552613139152527/0.040472544729709625,0.5406763553619385/0.40717536211013794/0.027929622679948807,0.5408738851547241/0.4072270393371582/0.02791621722280979,0.5413091778755188/0.4069068133831024/0.02790568768978119,0.5278170108795166/0.4105920195579529/0.016174500808119774,0.5387402176856995/0.41181355714797974/-0.04049941524863243,0.5403594970703125/0.4294101595878601/0.048500917851924896,0.5418921709060669/0.4305262565612793/0.03196718171238899,0.5009300708770752/0.48302850127220154/0.044281113892793655,0.5527375340461731/0.48024579882621765/-0.09518810361623764,0.490551233291626/0.5324198007583618/0.14928899705410004,0.5662559270858765/0.5290313959121704/-0.07839936763048172,0.5068132877349854/0.5172984004020691/0.2737584114074707,0.5590065121650696/0.5123652219772339/0.04204828664660454,0.5059844255447388/0.5171359181404114/0.2917260527610779,0.559428334236145/0.5093523859977722/0.04994669929146767,0.5102198719978333/0.5118035078048706/0.28320348262786865,0.5542802810668945/0.5033523440361023/0.05111103132367134,0.512729287147522/0.5119800567626953/0.2728270888328552,0.5527983903884888/0.5053229928016663/0.04651729762554169,0.5159759521484375/0.6449981927871704/0.04753721505403519,0.5418726205825806/0.6435088515281677/-0.04770239442586899,0.523311972618103/0.7672549486160278/0.06498986482620239,0.5589901208877563/0.766874372959137/-0.0303041972219944,0.5155174732208252/0.8803673386573792/0.10343661159276962,0.5744603276252747/0.8789494633674622/-0.0038243294693529606,0.510647714138031/0.9001007676124573/0.10622664541006088,0.5677288770675659/0.8966575264930725/-0.0017069678287953138,0.5179954767227173/0.9034222364425659/0.07742457091808319,0.5848798751831055/0.9055911898612976/-0.03606216982007027
4.0,0.5352705915768942/0.6072607779944384/0.03988027174232735,0.5463952422142029/0.41968920826911926/0.006014072801917791,0.5410877466201782/0.4065031111240387/-0.002930701244622469,0.5387333631515503/0.4055054485797882/-0.002934856805950403,0.5369495749473572/0.40469568967819214/-0.0029159458354115486,0.5429420471191406/0.4090660512447357/-0.012860262766480446,0.5426216125488281/0.4098653197288513/-0.012890830636024475,0.5424212217330933/0.4102594554424286/-0.01289223600178957,0.5277822613716125/0.4100383520126343/-0.0187809057533741,0.5385605096817017/0.4146212339401245/-0.061951059848070145,0.5431744456291199/0.4312569797039032/0.005951638333499432,0.544116199016571/0.4323803186416626/-0.0065472982823848724,0.495349645614624/0.47376760840415955/0.02726365253329277,0.5596688985824585/0.4795578122138977/-0.10951218754053116,0.47875648736953735/0.5269545316696167/0.1363382637500763,0.572924017906189/0.5337751507759094/-0.0766020268201828,0.4869125783443451/0.5187391042709351/0.2571629285812378,0.5685792565345764/0.5120033025741577/0.04486636444926262,0.4854356646537781/0.5185293555259705/0.27866870164871216,0.5698460340499878/0.5077999234199524/0.05370248109102249,0.48937639594078064/0.5136946439743042/0.27044305205345154,0.5631462335586548/0.5019832253456116/0.056517861783504486,0.4925558567047119/0.5145866274833679/0.25707539916038513,0.5611222982406616/0.5043400526046753/0.05049027130007744,0.5135263800621033/0.6414715647697449/0.05010903999209404,0.5454341769218445/0.6404808759689331/-0.05028160288929939,0.519646167755127/0.7656242847442627/0.05246131867170334,0.5613256096839905/0.7633413076400757/-0.043995317071676254,0.5115664005279541/0.8824952244758606/0.05278429388999939,0.5819629430770874/0.8782026767730713/-0.06558714061975479,0.5091897249221802/0.9018632769584656/0.05073058605194092,0.5730470418930054/0.8970546126365662/-0.06718340516090393,0.5213809609413147/0.9066466093063354/0.028105121105909348,0.5915245413780212/0.905143141746521/-0.1014767661690712
5.0,0.5323548416296641/0.6059233733901271/0.027821635085813427,0.547815203666687/0.41676798462867737/0.02233753725886345,0.5420935750007629/0.40461844205856323/0.010680734179913998,0.539974570274353/0.4038390815258026/0.010668178088963032,0.5379884243011475/0.4030543565750122/0.010662557557225227,0.5441967248916626/0.40672701597213745/0.00016912598221097142,0.5436865091323853/0.40739649534225464/0.0001227158645633608,0.5432571172714233/0.4077037274837494/7.112003368092701e-05,0.5278152227401733/0.4081672132015228/-0.014920145273208618,0.5381662249565125/0.41260814666748047/-0.06164862588047981,0.5436075925827026/0.42948970198631287/0.01919535920023918,0.5449744462966919/0.4305005967617035/0.005350679624825716,0.49271711707115173/0.4714300036430359/0.02321092039346695,0.556426465511322/0.4808516204357147/-0.11605805158615112,0.474527508020401/0.5059054493904114/0.13488663733005524,0.5728060007095337/0.5406691431999207/-0.11828406900167465,0.464212030172348/0.488066166639328/0.27453187108039856,0.576385498046875/0.5393975973129272/-0.0708693414926529,0.45636653900146484/0.48556098341941833/0.2971746325492859,0.5790074467658997/0.5421099066734314/-0.07395528256893158,0.4596727788448334/0.47956258058547974/0.2917110323905945,0.5752049684524536/0.5315680503845215/-0.07185464352369308,0.4653915464878082/0.48170095682144165/0.27631402015686035,0.5725855231285095/0.5310155749320984/-0.06801815330982208,0.5124311447143555/0.643170177936554/0.05390961840748787,0.5451306700706482/0.6414988040924072/-0.05417553707957268,0.5174363851547241/0.7654457092285156/0.057639241218566895,0.5625706315040588/0.7622606754302979/-0.05468788743019104,0.5124784111976624/0.8847416639328003/0.07076448947191238,0.5805259943008423/0.8777973055839539/-0.04874422773718834,0.5095239281654358/0.9048612117767334/0.06871164590120316,0.5733550786972046/0.8965776562690735/-0.04750650003552437,0.5157149434089661/0.9049515128135681/0.04596833139657974,0.596731424331665/0.9032546877861023/-0.08979940414428711
6.0,0.533846370599888/0.6059159448853245/0.021164190248344785,0.5468988418579102/0.4135926067829132/0.01328999549150467,0.5417221188545227/0.4016971290111542/-0.0013190919999033213,0.5391939282417297/0.40077343583106995/-0.0013360700104385614,0.5368016362190247/0.3999274969100952/-0.0013403287157416344,0.5441034436225891/0.404506117105484/-0.009862632490694523,0.5439521074295044/0.4053209722042084/-0.009914162568747997,0.5439027547836304/0.4056267738342285/-0.00999140739440918,0.5275092720985413/0.403952032327652/-0.03529491275548935,0.5386331677436829/0.4094730615615845/-0.07279730588197708,0.5433416962623596/0.42586368322372437/0.0071069421246647835,0.5445674061775208/0.4270993173122406/-0.003998167812824249,0.49375978112220764/0.4675711393356323/0.006132713984698057,0.5577481985092163/0.479982852935791/-0.12544557452201843,0.47916126251220703/0.5038096904754639/0.11304502189159393,0.5765684247016907/0.5391064286231995/-0.1283957064151764,0.4716951251029968/0.48656609654426575/0.2537619173526764,0.5761856436729431/0.5450529456138611/-0.0788334459066391,0.4646664559841156/0.48566219210624695/0.2631518244743347,0.5771400928497314/0.5509765148162842/-0.08143262565135956,0.4678530693054199/0.47892722487449646/0.2576565742492676,0.5741463899612427/0.5416170358657837/-0.08157583326101303,0.4731169641017914/0.4800911247730255/0.2521859407424927,0.5720805525779724/0.5398418307304382/-0.07669927179813385,0.5124098658561707/0.6423100829124451/0.051814496517181396,0.5444271564483643/0.6409470438957214/-0.05201178789138794,0.5179004073143005/0.7653873562812805/0.05075012519955635,0.5608523488044739/0.7623862028121948/-0.0538804829120636,0.5137582421302795/0.8845821022987366/0.07945982366800308,0.5800775289535522/0.8780204653739929/-0.022725366055965424,0.5112289190292358/0.9043871760368347/0.0789637416601181,0.5738658905029297/0.8972605466842651/-0.02145790494978428,0.5150407552719116/0.9041217565536499/0.047265272587537766,0.5992185473442078/0.9011420011520386/-0.06860286742448807
7.0,0.5402204383302618/0.6242488236339004/0.050546940278123925,0.5464645624160767/0.41470056772232056/-0.034879300743341446,0.5413832068443298/0.40222465991973877/-0.035880573093891144,0.5390728116035461/0.4013229310512543/-0.035872384905815125,0.5368947982788086/0.4004545509815216/-0.03585366532206535,0.5441299080848694/0.4051901698112488/-0.0491507351398468,0.5438309907913208/0.4061676859855652/-0.049179449677467346,0.5438370108604431/0.40662723779678345/-0.049228303134441376,0.5280129313468933/0.40602871775627136/-0.02639663778245449,0.5386261343955994/0.4098939597606659/-0.08289887011051178,0.5427448749542236/0.42684683203697205/-0.025437960401177406,0.5443589091300964/0.4278112053871155/-0.04210082069039345,0.49487829208374023/0.46696728467941284/0.018501881510019302,0.5605174899101257/0.47441262006759644/-0.13088658452033997,0.4797409474849701/0.5424601435661316/0.12593314051628113,0.5794600248336792/0.5499079823493958/-0.08281202614307404,0.5036494731903076/0.5699638724327087/0.2262062132358551,0.5763272643089294/0.5661517977714539/0.06031913682818413,0.5063806772232056/0.5788469910621643/0.24598923325538635,0.5778177976608276/0.572621762752533/0.07271517813205719,0.5097503662109375/0.5726346373558044/0.2367675006389618,0.5725804567337036/0.5636512637138367/0.0699671283364296,0.5108629465103149/0.570220410823822/0.22339887917041779,0.5700612664222717/0.5627747178077698/0.06436234712600708,0.512701153755188/0.641631007194519/0.05712582543492317,0.5456393957138062/0.6415224671363831/-0.057422418147325516,0.5178061127662659/0.765489935874939/0.08606965094804764,0.5608116388320923/0.7631668448448181/-0.02253725565969944,0.5133589506149292/0.8847652673721313/0.13015058636665344,0.5805639028549194/0.8780320882797241/0.007078554481267929,0.5104056000709534/0.9049744009971619/0.13294193148612976,0.5740038156509399/0.8987905383110046/0.00998365692794323,0.5253703594207764/0.9016641974449158/0.11335732787847519,0.6030564904212952/0.898786723613739/-0.010728910565376282
8.0,0.5417869444246646/0.6101027892695533/0.05989076764564271,0.5463415384292603/0.41751912236213684/-0.06044866517186165,0.5421467423439026/0.40604498982429504/-0.05796816945075989,0.5402683615684509/0.40533190965652466/-0.05796639993786812,0.5384939908981323/0.404558926820755/-0.05795477703213692,0.5441972613334656/0.40810537338256836/-0.0731363594532013,0.5437433123588562/0.40878579020500183/-0.07315485924482346,0.5437532067298889/0.40904343128204346/-0.07316802442073822,0.5288015007972717/0.40864381194114685/-0.0274709053337574,0.5374748706817627/0.4117141366004944/-0.09268023818731308,0.542417585849762/0.4288419187068939/-0.04354366660118103,0.5442184805870056/0.4291914999485016/-0.06258179992437363,0.49536293745040894/0.4662483036518097/0.04537222534418106,0.558740496635437/0.4729544520378113/-0.12997563183307648,0.48562103509902954/0.5343710780143738/0.17917269468307495,0.5809756517410278/0.5443781614303589/-0.07488767802715302,0.5092736482620239/0.522119402885437/0.28922078013420105,0.5789822936058044/0.5407864451408386/0.08110636472702026,0.5103992223739624/0.5167169570922852/0.3129890561103821,0.5809932947158813/0.5304286479949951/0.09542876482009888,0.5140289068222046/0.5096766948699951/0.30802685022354126,0.5726567506790161/0.5209373831748962/0.093346007168293,0.515656590461731/0.5135392546653748/0.28959065675735474,0.5702633261680603/0.5271881222724915/0.08634427189826965,0.5135694146156311/0.6419455409049988/0.059450745582580566,0.5439000129699707/0.6416228413581848/-0.05966322496533394,0.518884539604187/0.7653194069862366/0.06648049503564835,0.5604709982872009/0.7629182934761047/-0.02551102079451084,0.5160759687423706/0.8854302763938904/0.11066092550754547,0.5796040892601013/0.8782942891120911/0.0018510157242417336,0.5110766291618347/0.9047580361366272/0.11335672438144684,0.5757075548171997/0.8991851806640625/0.0039523146115243435,0.5303234457969666/0.899893045425415/0.08033640682697296,0.6064267158508301/0.8981530070304871/-0.022872742265462875
9.0,0.5436106037210535/0.6088440627963455/0.052522061496145196,0.5455228686332703/0.4196493923664093/-0.07771573960781097,0.5420014262199402/0.4082552194595337/-0.07040519267320633,0.5400258898735046/0.4076178967952728/-0.07040064036846161,0.5383280515670776/0.40692317485809326/-0.07039174437522888,0.5431236624717712/0.40981388092041016/-0.08641474694013596,0.5424207448959351/0.41019493341445923/-0.08643396198749542,0.5419369339942932/0.41024941205978394/-0.08643878996372223,0.5294626355171204/0.4094131588935852/-0.022413013502955437,0.5353514552116394/0.41151538491249084/-0.09098822623491287,0.5420173406600952/0.430330753326416/-0.054713159799575806,0.5425299406051636/0.4301761984825134/-0.0746527686715126,0.49524086713790894/0.46632012724876404/0.0647924467921257,0.5583233833312988/0.46875765919685364/-0.12350104004144669,0.49465131759643555/0.5405458807945251/0.18579229712486267,0.5796325206756592/0.5420658588409424/-0.07388880848884583,0.5213291049003601/0.5365427732467651/0.27709758281707764,0.5763609409332275/0.5143696069717407/0.07169924676418304,0.5253983736038208/0.5358914732933044/0.2986055612564087,0.5780216455459595/0.5023376941680908/0.08457640558481216,0.5292181968688965/0.5287745594978333/0.29110080003738403,0.5706690549850464/0.4959476888179779/0.08325279504060745,0.5295009613037109/0.5300171971321106/0.2756592333316803,0.5688701272010803/0.502625048160553/0.07653170078992844,0.5141542553901672/0.6410521268844604/0.06195806711912155,0.5428742170333862/0.642332136631012/-0.06211497634649277,0.5197713971138/0.7645013928413391/0.0641394779086113,0.5616376996040344/0.7639552354812622/-0.02611544355750084,0.5175639986991882/0.8848254680633545/0.0965990275144577,0.5773243308067322/0.8783801794052124/-0.01350343506783247,0.5113845467567444/0.9035059213638306/0.09535950422286987,0.5742450952529907/0.898295521736145/-0.013394022360444069,0.5325437784194946/0.897958517074585/0.06805828213691711,0.6038862466812134/0.8987027406692505/-0.04412613436579704
10.0,0.5429243235676376/0.6047924768041681/0.06080940636564736,0.5453792214393616/0.41884148120880127/-0.05107148364186287,0.5418045520782471/0.40722373127937317/-0.04959170147776604,0.5398639440536499/0.40662315487861633/-0.04958600550889969,0.5381945371627808/0.40587151050567627/-0.04958708584308624,0.5431069135665894/0.40846917033195496/-0.06366754323244095,0.5424162149429321/0.40867650508880615/-0.06368465721607208,0.5419399738311768/0.4084908664226532/-0.06370444595813751,0.5292282104492188/0.40845075249671936/-0.021889766678214073,0.5355079770088196/0.41044002771377563/-0.08375732600688934,0.5418856143951416/0.429802268743515/-0.03595826029777527,0.5425084829330444/0.42997801303863525/-0.05356515198945999,0.49540361762046814/0.46552249789237976/0.05794888734817505,0.5592619180679321/0.4672647714614868/-0.11837682873010635,0.49563068151474/0.5380293726921082/0.1827385127544403,0.5802189111709595/0.5411336421966553/-0.058279793709516525,0.5202157497406006/0.5220333933830261/0.2966250777244568,0.5766664743423462/0.5076349377632141/0.10001244395971298,0.5232189893722534/0.5150328874588013/0.3224930465221405,0.5779678821563721/0.4964735209941864/0.11767701059579849,0.5275107622146606/0.5077522397041321/0.3188765347003937,0.5694936513900757/0.49059608578681946/0.1158478707075119,0.5283500552177429/0.5118802189826965/0.29772862792015076,0.5677751302719116/0.49693262577056885/0.10521118342876434,0.514327883720398/0.6403234601020813/0.059548716992139816,0.5423948168754578/0.6418542861938477/-0.05971036106348038,0.519883930683136/0.7634917497634888/0.05850764364004135,0.5617246031761169/0.7647207975387573/-0.02111964300274849,0.5186280608177185/0.8847914934158325/0.06143273785710335,0.5726850628852844/0.8790920972824097/-0.007967213168740273,0.5122007727622986/0.9032219648361206/0.05986949801445007,0.568238377571106/0.8986002802848816/-0.006879051681607962,0.5339652299880981/0.898768424987793/0.03773590177297592,0.5986846685409546/0.8967335820198059/-0.03182484209537506
11.0,0.542499389913347/0.6000859682206754/0.0604588637749354,0.54227215051651/0.4177711308002472/-0.040593136101961136,0.5391209125518799/0.40553563833236694/-0.03810339421033859,0.5372109413146973/0.40504512190818787/-0.038118816912174225,0.5343340635299683/0.40436384081840515/-0.03808875009417534,0.5414214730262756/0.40648937225341797/-0.05171924829483032,0.5413491725921631/0.4054698646068573/-0.05175371840596199,0.5412963628768921/0.40514832735061646/-0.05174153298139572,0.5277162790298462/0.4065299332141876/-0.017016710713505745,0.5356035828590393/0.40821436047554016/-0.07575565576553345,0.5393216609954834/0.42800357937812805/-0.025671720504760742,0.5409015417098999/0.427746444940567/-0.04412825405597687,0.4957670271396637/0.4654017388820648/0.056636106222867966,0.5591888427734375/0.4655567407608032/-0.11381761729717255,0.4986749589443207/0.5372904539108276/0.17386341094970703,0.5803256034851074/0.5408157110214233/-0.04911128431558609,0.5210093259811401/0.49886614084243774/0.28595900535583496,0.575971245765686/0.5018420815467834/0.1116483062505722,0.5233317613601685/0.4888072609901428/0.3107682764530182,0.5766808986663818/0.49101704359054565/0.12787790596485138,0.5278894305229187/0.48197659850120544/0.3077048659324646,0.5693592429161072/0.4854603111743927/0.1258898228406906,0.5287935733795166/0.486690491437912/0.2871294319629669,0.5676552653312683/0.4915392994880676/0.11627043783664703,0.5145548582077026/0.6406481266021729/0.05887766554951668,0.5420122146606445/0.6418675184249878/-0.05901149660348892,0.5205298066139221/0.7628400325775146/0.05159904435276985,0.5606317520141602/0.7647276520729065/-0.02389928326010704,0.5194882750511169/0.8857410550117493/0.05150596424937248,0.5708274245262146/0.87959223985672/-0.011558875441551208,0.5130346417427063/0.9040812253952026/0.05050147324800491,0.565863847732544/0.898931086063385/-0.010782025754451752,0.5326618552207947/0.8990455865859985/0.023934120312333107,0.5974164605140686/0.901317298412323/-0.03643045574426651
