0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
"[0.8803414106369019, 0.2182604819536209, 0.013361644931137562]","[0.8747486472129822, 0.20972684025764465, 0.005421469919383526]","[0.8733218312263489, 0.20986390113830566, 0.0053754402324557304]","[0.867925763130188, 0.20959550142288208, 0.00526579050347209]","[0.8794088363647461, 0.21169649064540863, -0.016108477488160133]","[0.8791001439094543, 0.2125864028930664, -0.016117142513394356]","[0.8787863254547119, 0.21339750289916992, -0.016198530793190002]","[0.8589595556259155, 0.21814069151878357, -0.014091290533542633]","[0.8751362562179565, 0.22343094646930695, -0.11009036749601364]","[0.876475989818573, 0.22749553620815277, 0.012574411928653717]","[0.8796824812889099, 0.22883976995944977, -0.015041026286780834]","[0.8300886750221252, 0.26933473348617554, 0.04166368395090103]","[0.8759550452232361, 0.2910802960395813, -0.1822156310081482]","[0.8456894159317017, 0.34709879755973816, 0.18842686712741852]","[0.8770658373832703, 0.391309916973114, -0.1628689467906952]","[0.8941649198532104, 0.3328108489513397, 0.2880609333515167]","[0.9117180109024048, 0.365412175655365, -0.06992161273956299]","[0.9012983441352844, 0.32433807849884033, 0.3056659698486328]","[0.9224185943603516, 0.352495402097702, -0.08166085928678513]","[0.9061225652694702, 0.31592777371406555, 0.28829225897789]","[0.9204581379890442, 0.3403993248939514, -0.0773727223277092]","[0.9062501192092896, 0.3211686313152313, 0.28236111998558044]","[0.9175106883049011, 0.3423509895801544, -0.06747406721115112]","[0.8395355343818665, 0.4411126673221588, 0.08430008590221405]","[0.8688971400260925, 0.46817514300346375, -0.08438023924827576]","[0.852233350276947, 0.5439456701278687, 0.2828558683395386]","[0.8591422438621521, 0.5609962344169617, 0.1056918129324913]","[0.8291492462158203, 0.6335102915763855, 0.46998804807662964]","[0.8431313633918762, 0.6639840602874756, 0.29224878549575806]","[0.8115373253822327, 0.6448894143104553, 0.4908429980278015]","[0.8315322995185852, 0.6870231628417969, 0.314708948135376]","[0.8394184708595276, 0.6488343477249146, 0.5002436637878418]","[0.8732539415359497, 0.6775312423706055, 0.3066213130950928]"
"[0.8816246390342712, 0.22069264948368073, -0.027128808200359344]","[0.8752671480178833, 0.21024522185325623, -0.03551268205046654]","[0.8734264373779297, 0.21013006567955017, -0.03555535152554512]","[0.8694542646408081, 0.20978185534477234, -0.035676926374435425]","[0.8804833292961121, 0.2122969776391983, -0.05296231061220169]","[0.8811046481132507, 0.21325086057186127, -0.05295592173933983]","[0.8818765878677368, 0.2141733318567276, -0.053017910569906235]","[0.8608642220497131, 0.21697326004505157, -0.04726142808794975]","[0.8751409649848938, 0.2206602841615677, -0.12603218853473663]","[0.8777272701263428, 0.23215053975582123, -0.024151725694537163]","[0.8826480507850647, 0.23397383093833923, -0.046847663819789886]","[0.8307478427886963, 0.26886236667633057, 0.012166742235422134]","[0.8761605024337769, 0.2891421616077423, -0.18100541830062866]","[0.8410666584968567, 0.32941970229148865, 0.18859922885894775]","[0.877013623714447, 0.389336496591568, -0.20540376007556915]","[0.8940151333808899, 0.2910250425338745, 0.34519147872924805]","[0.9137353301048279, 0.36150452494621277, -0.22960178554058075]","[0.9011908769607544, 0.2765892744064331, 0.36838048696517944]","[0.9258975982666016, 0.35021305084228516, -0.25571194291114807]","[0.9063279032707214, 0.269462525844574, 0.3456282913684845]","[0.9233105182647705, 0.33565276861190796, -0.25277212262153625]","[0.9066528677940369, 0.27690035104751587, 0.33973464369773865]","[0.9179747700691223, 0.3378220200538635, -0.23007090389728546]","[0.8465202450752258, 0.4409012496471405, 0.0761740654706955]","[0.8749831914901733, 0.46278321743011475, -0.07620910555124283]","[0.8519118428230286, 0.540942370891571, 0.2560056149959564]","[0.8580900430679321, 0.5573499202728271, 0.10565145313739777]","[0.8286457657814026, 0.6322811841964722, 0.44338756799697876]","[0.8440650105476379, 0.6656079888343811, 0.2899619936943054]","[0.8155089020729065, 0.6460123062133789, 0.46381884813308716]","[0.8374105095863342, 0.6872003674507141, 0.3118430972099304]","[0.8404638171195984, 0.6470859050750732, 0.47267386317253113]","[0.8732678294181824, 0.6771280765533447, 0.30590903759002686]"
"[0.8814994096755981, 0.2206016331911087, -0.022246187552809715]","[0.8747988343238831, 0.21018247306346893, -0.028831055387854576]","[0.8726077675819397, 0.21009251475334167, -0.02888195961713791]","[0.8694438338279724, 0.20978090167045593, -0.02900383062660694]","[0.8802723288536072, 0.21195834875106812, -0.04656009376049042]","[0.8810321092605591, 0.2129015028476715, -0.046551413834095]","[0.8817602396011353, 0.21383711695671082, -0.04663071781396866]","[0.8607958555221558, 0.2172098159790039, -0.038174498826265335]","[0.8744175434112549, 0.21919992566108704, -0.1234152540564537]","[0.8777493834495544, 0.23216396570205688, -0.01883471943438053]","[0.8830097317695618, 0.2336750328540802, -0.041973333805799484]","[0.8341448307037354, 0.26961612701416016, 0.017879247665405273]","[0.8769104480743408, 0.28810539841651917, -0.17025507986545563]","[0.8383658528327942, 0.33157479763031006, 0.17986516654491425]","[0.8770051598548889, 0.3875686526298523, -0.23863442242145538]","[0.8888014554977417, 0.3050227165222168, 0.3221738040447235]","[0.9145662784576416, 0.36124545335769653, -0.33126401901245117]","[0.8944925665855408, 0.2934345304965973, 0.341401070356369]","[0.9274587631225586, 0.3504379391670227, -0.3662179410457611]","[0.9010876417160034, 0.28502172231674194, 0.32480376958847046]","[0.9234901070594788, 0.33542099595069885, -0.3585399389266968]","[0.9022475481033325, 0.2911793291568756, 0.3164186477661133]","[0.9182942509651184, 0.337374210357666, -0.33176499605178833]","[0.8527820706367493, 0.44412222504615784, 0.07537609338760376]","[0.8770198225975037, 0.45793208479881287, -0.07542133331298828]","[0.8532713651657104, 0.5385578274726868, 0.2306738644838333]","[0.8579950332641602, 0.5530208945274353, 0.09269078075885773]","[0.8337064981460571, 0.6354739665985107, 0.3960075080394745]","[0.8451083302497864, 0.665912389755249, 0.26693040132522583]","[0.8243831992149353, 0.6527987718582153, 0.413271963596344]","[0.839271068572998, 0.6871877312660217, 0.2871173918247223]","[0.8557729125022888, 0.6577698588371277, 0.4123351573944092]","[0.8768684267997742, 0.6772018671035767, 0.2768098711967468]"
"[0.8978099822998047, 0.22505530714988708, -0.05686056613922119]","[0.892589807510376, 0.21418313682079315, -0.056421563029289246]","[0.8905941247940063, 0.21329255402088165, -0.05645522475242615]","[0.8888351321220398, 0.2124030888080597, -0.05656176432967186]","[0.8952705264091492, 0.21702347695827484, -0.07938221096992493]","[0.8950042128562927, 0.21800170838832855, -0.07936899363994598]","[0.8947857022285461, 0.21900025010108948, -0.07940687984228134]","[0.8765637874603271, 0.21720053255558014, -0.039253346621990204]","[0.8813880085945129, 0.22160978615283966, -0.14083266258239746]","[0.8922848105430603, 0.23504696786403656, -0.04361367225646973]","[0.8951057195663452, 0.23742611706256866, -0.07342248409986496]","[0.8419301509857178, 0.2609767019748688, 0.022531766444444656]","[0.8766347765922546, 0.2877839505672455, -0.17784753441810608]","[0.8412517309188843, 0.32274186611175537, 0.21233268082141876]","[0.8764403462409973, 0.3876913785934448, -0.22170867025852203]","[0.8912920355796814, 0.29076677560806274, 0.3564116656780243]","[0.9219369888305664, 0.3601759672164917, -0.24900156259536743]","[0.9042776823043823, 0.272763192653656, 0.37969326972961426]","[0.9346768856048584, 0.34964659810066223, -0.27800413966178894]","[0.904021680355072, 0.2629801332950592, 0.35762205719947815]","[0.9313706755638123, 0.33417946100234985, -0.2729605734348297]","[0.9027319550514221, 0.2751275599002838, 0.3508021831512451]","[0.9251277446746826, 0.33538272976875305, -0.24796615540981293]","[0.8564941883087158, 0.4411115050315857, 0.0758691281080246]","[0.8771012425422668, 0.45148521661758423, -0.07588513195514679]","[0.8532478213310242, 0.534298300743103, 0.22709785401821136]","[0.8576458096504211, 0.5488668084144592, 0.08909481018781662]","[0.8229912519454956, 0.6336139440536499, 0.4013647735118866]","[0.8448828458786011, 0.6657590270042419, 0.25855499505996704]","[0.8183969259262085, 0.6522824168205261, 0.4196956753730774]","[0.839142382144928, 0.6871572732925415, 0.2777787148952484]","[0.8515942096710205, 0.6574029922485352, 0.4199051260948181]","[0.8768977522850037, 0.677542507648468, 0.26637962460517883]"
"[0.8915708661079407, 0.22501149773597717, -0.006384711246937513]","[0.8855517506599426, 0.21421471238136292, -0.01564365066587925]","[0.8823498487472534, 0.21350744366645813, -0.015697846189141273]","[0.8818669319152832, 0.21281364560127258, -0.0158174317330122]","[0.891289234161377, 0.21666385233402252, -0.032354433089494705]","[0.8932852149009705, 0.21761558949947357, -0.032343532890081406]","[0.893750786781311, 0.21860942244529724, -0.03243934363126755]","[0.8710959553718567, 0.21781842410564423, -0.036015551537275314]","[0.8780089020729065, 0.22162406146526337, -0.112947016954422]","[0.8865199685096741, 0.23582415282726288, -0.008110230788588524]","[0.8933560252189636, 0.2374529093503952, -0.030103078112006187]","[0.840455949306488, 0.26534509658813477, 0.023769838735461235]","[0.8766804933547974, 0.28708311915397644, -0.16730168461799622]","[0.8428876996040344, 0.33555421233177185, 0.16882143914699554]","[0.8764394521713257, 0.3822927474975586, -0.2278611958026886]","[0.8912062048912048, 0.30385568737983704, 0.278560996055603]","[0.9202972650527954, 0.360578715801239, -0.2925242483615875]","[0.9001676440238953, 0.291958212852478, 0.2951556444168091]","[0.929162859916687, 0.35714295506477356, -0.3225867748260498]","[0.9035836458206177, 0.2805563509464264, 0.2765465974807739]","[0.9240130186080933, 0.3378542363643646, -0.316508948802948]","[0.9029989838600159, 0.28550049662590027, 0.27344897389411926]","[0.9191789627075195, 0.3385657072067261, -0.2929627299308777]","[0.8541092872619629, 0.43649420142173767, 0.07486028969287872]","[0.8771650791168213, 0.447706013917923, -0.07488314062356949]","[0.853227972984314, 0.5342541933059692, 0.22707311809062958]","[0.8574665784835815, 0.549409031867981, 0.08571061491966248]","[0.8237231373786926, 0.6315939426422119, 0.3880438506603241]","[0.8448456525802612, 0.6657329201698303, 0.24842755496501923]","[0.8183215260505676, 0.6505922079086304, 0.40438294410705566]","[0.8383420705795288, 0.685966432094574, 0.2667939066886902]","[0.8495863676071167, 0.656286895275116, 0.39836743474006653]","[0.87673419713974, 0.6775451302528381, 0.24791783094406128]"
"[0.887694776058197, 0.2250012457370758, 0.02405315637588501]","[0.8810059428215027, 0.21431361138820648, 0.019672952592372894]","[0.8778468370437622, 0.21375210583209991, 0.019614145159721375]","[0.8776065111160278, 0.21321842074394226, 0.01949048601090908]","[0.8864469528198242, 0.21642987430095673, -0.0010263848816975951]","[0.8882403373718262, 0.21734660863876343, -0.0010064784437417984]","[0.8892201781272888, 0.2183353304862976, -0.0010947436094284058]","[0.8669863343238831, 0.21858957409858704, 0.011752191931009293]","[0.8769850134849548, 0.22233842313289642, -0.08114920556545258]","[0.8835707306861877, 0.23640696704387665, 0.02646537870168686]","[0.8900690078735352, 0.23766903579235077, -0.0002953966031782329]","[0.8398603796958923, 0.27229273319244385, 0.06514368951320648]","[0.8755590319633484, 0.28618791699409485, -0.15034817159175873]","[0.8417268395423889, 0.3617458939552307, 0.1921525001525879]","[0.8759265542030334, 0.38249921798706055, -0.2150319516658783]","[0.8823369145393372, 0.35125985741615295, 0.2869737148284912]","[0.9194040298461914, 0.3670157194137573, -0.26598286628723145]","[0.887951672077179, 0.3469248414039612, 0.30482053756713867]","[0.9288007020950317, 0.3684658706188202, -0.29413920640945435]","[0.8935825228691101, 0.33533552289009094, 0.2845650911331177]","[0.9240725636482239, 0.34995338320732117, -0.28504765033721924]","[0.8944161534309387, 0.3371962904930115, 0.2813016474246979]","[0.9193302392959595, 0.35030031204223633, -0.2644343972206116]","[0.8526981472969055, 0.43510738015174866, 0.07543329894542694]","[0.8766922950744629, 0.4453018307685852, -0.07543853670358658]","[0.8535882830619812, 0.5374248027801514, 0.21429990231990814]","[0.8574579358100891, 0.549345076084137, 0.06568250060081482]","[0.8328635096549988, 0.6436574459075928, 0.3542633652687073]","[0.8448341488838196, 0.6647832989692688, 0.20905421674251556]","[0.8227531909942627, 0.6649405360221863, 0.3680591881275177]","[0.8378469347953796, 0.6856281161308289, 0.22520755231380463]","[0.8499279022216797, 0.6625150442123413, 0.359650194644928]","[0.8751417398452759, 0.6775779128074646, 0.2021615356206894]"
"[0.8890120983123779, 0.22630098462104797, 0.01699315384030342]","[0.882660448551178, 0.21549947559833527, 0.007952413521707058]","[0.8801527619361877, 0.21513552963733673, 0.007904052734375]","[0.8790121674537659, 0.214825838804245, 0.007783415261656046]","[0.88665771484375, 0.21681208908557892, -0.006942593026906252]","[0.8874926567077637, 0.21743781864643097, -0.006926989648491144]","[0.8880508542060852, 0.21820034086704254, -0.00696870032697916]","[0.8673604726791382, 0.21964126825332642, 0.014051046222448349]","[0.8776590824127197, 0.22230863571166992, -0.09314805269241333]","[0.8844373226165771, 0.2380371391773224, 0.015609116293489933]","[0.888990044593811, 0.23863233625888824, -0.002925416687503457]","[0.8389984369277954, 0.2740636467933655, 0.07517236471176147]","[0.8711017370223999, 0.28491079807281494, -0.15778964757919312]","[0.8430812954902649, 0.366159588098526, 0.19860155880451202]","[0.8800569176673889, 0.38329845666885376, -0.21549050509929657]","[0.8815205693244934, 0.3636423945426941, 0.29070523381233215]","[0.9175977110862732, 0.3687601089477539, -0.24556966125965118]","[0.8868943452835083, 0.36218979954719543, 0.30853211879730225]","[0.9233865141868591, 0.3725989758968353, -0.27115413546562195]","[0.8921681046485901, 0.35161304473876953, 0.28993454575538635]","[0.9193665385246277, 0.3553296625614166, -0.2646065056324005]","[0.8926518559455872, 0.3524243235588074, 0.2850594222545624]","[0.9150782823562622, 0.3557327091693878, -0.24417418241500854]","[0.851984441280365, 0.4354313313961029, 0.07668112218379974]","[0.8758426308631897, 0.4453950524330139, -0.07667595893144608]","[0.8531094193458557, 0.5381370186805725, 0.20494775474071503]","[0.8572856187820435, 0.5488840341567993, 0.0640367940068245]","[0.8335419297218323, 0.6449154019355774, 0.3382296860218048]","[0.8445349335670471, 0.6647708415985107, 0.2110137939453125]","[0.8151997327804565, 0.6619058847427368, 0.3511032164096832]","[0.8375040888786316, 0.685878336429596, 0.22684089839458466]","[0.8471988439559937, 0.6609370708465576, 0.3368098735809326]","[0.8751499652862549, 0.6778342127799988, 0.19912216067314148]"
"[0.8925096988677979, 0.22741298377513885, -0.03246995061635971]","[0.8921188712120056, 0.21744374930858612, -0.027850506827235222]","[0.8888021111488342, 0.2167036235332489, -0.027903791517019272]","[0.8863638639450073, 0.21769054234027863, -0.028006289154291153]","[0.8925685882568359, 0.21815328299999237, -0.05289439484477043]","[0.8922235369682312, 0.21844004094600677, -0.052887387573719025]","[0.8918966054916382, 0.21875278651714325, -0.05295586585998535]","[0.8739440441131592, 0.2211572378873825, 0.0024948082864284515]","[0.8793591856956482, 0.2237890511751175, -0.11140672862529755]","[0.8853312730789185, 0.23795992136001587, -0.016670851036906242]","[0.8886381983757019, 0.2386160045862198, -0.04918017238378525]","[0.8403570652008057, 0.2738681435585022, 0.06955552846193314]","[0.8705649971961975, 0.28485143184661865, -0.16047199070453644]","[0.8494604229927063, 0.3609110713005066, 0.21814922988414764]","[0.8758167624473572, 0.383572518825531, -0.23821993172168732]","[0.8829377889633179, 0.35204896330833435, 0.3286091685295105]","[0.9173380136489868, 0.37307146191596985, -0.29535314440727234]","[0.8890404105186462, 0.3486086428165436, 0.35044410824775696]","[0.9239378571510315, 0.3722511827945709, -0.3267323672771454]","[0.8940547704696655, 0.33795687556266785, 0.3308275043964386]","[0.9208372831344604, 0.3561379015445709, -0.3197978138923645]","[0.8945063948631287, 0.3400384187698364, 0.3234420716762543]","[0.9153742790222168, 0.35599368810653687, -0.29418522119522095]","[0.8519998788833618, 0.43567129969596863, 0.07769075781106949]","[0.8756647109985352, 0.4470652639865875, -0.07767336070537567]","[0.8529447913169861, 0.5383968949317932, 0.20991657674312592]","[0.8572144508361816, 0.5495350956916809, 0.0642252042889595]","[0.834203839302063, 0.6469175219535828, 0.3547636866569519]","[0.8445079326629639, 0.6657248139381409, 0.21949125826358795]","[0.8108686804771423, 0.6597017049789429, 0.3688011169433594]","[0.837192177772522, 0.6882707476615906, 0.23580512404441833]","[0.8444552421569824, 0.6548116207122803, 0.35353386402130127]","[0.87545245885849, 0.6785195469856262, 0.20531252026557922]"
"[0.8929718732833862, 0.22850559651851654, -0.03830714896321297]","[0.8920044302940369, 0.21911276876926422, -0.03202437981963158]","[0.8907912969589233, 0.21860641241073608, -0.032071586698293686]","[0.8899028897285461, 0.21876856684684753, -0.032168224453926086]","[0.8920069336891174, 0.2195439487695694, -0.05792275071144104]","[0.8916045427322388, 0.2206868678331375, -0.05791078135371208]","[0.8910504579544067, 0.22084404528141022, -0.05798815190792084]","[0.8742599487304688, 0.22370895743370056, 0.0015462373849004507]","[0.880199134349823, 0.22611157596111298, -0.11345823109149933]","[0.8852849006652832, 0.23823213577270508, -0.020944660529494286]","[0.8882386684417725, 0.2389005720615387, -0.05465828627347946]","[0.8425753712654114, 0.27429476380348206, 0.07169871777296066]","[0.8696398735046387, 0.28461578488349915, -0.16283494234085083]","[0.8522900342941284, 0.35988590121269226, 0.21673300862312317]","[0.870620846748352, 0.38399943709373474, -0.22528301179409027]","[0.892236053943634, 0.3515472114086151, 0.3245055377483368]","[0.9183561205863953, 0.3830099105834961, -0.25777924060821533]","[0.9026665687561035, 0.3411141633987427, 0.3462974727153778]","[0.9298922419548035, 0.38058096170425415, -0.28698980808258057]","[0.9033889770507812, 0.3317786753177643, 0.3197084069252014]","[0.9282214641571045, 0.36920198798179626, -0.27976712584495544]","[0.9011380672454834, 0.33419355750083923, 0.3225386440753937]","[0.9227824807167053, 0.36918652057647705, -0.2560756504535675]","[0.8544716835021973, 0.43527597188949585, 0.07802189886569977]","[0.8755041360855103, 0.446914941072464, -0.07800950109958649]","[0.852509081363678, 0.5384920239448547, 0.21852107346057892]","[0.8571025133132935, 0.5503373742103577, 0.0687168538570404]","[0.8196316361427307, 0.6338356137275696, 0.36372610926628113]","[0.8444877862930298, 0.6675246953964233, 0.226041778922081]","[0.8052971363067627, 0.6509606242179871, 0.3804715871810913]","[0.8370452523231506, 0.6899811029434204, 0.24282704293727875]","[0.8365511894226074, 0.6488558650016785, 0.38372674584388733]","[0.8757225871086121, 0.6798544526100159, 0.2119123935699463]"
"[0.8919976353645325, 0.23292836546897888, -0.030568888410925865]","[0.8897883892059326, 0.2249671369791031, -0.013788423500955105]","[0.8888814449310303, 0.22457724809646606, -0.013813725672662258]","[0.8896636366844177, 0.22440406680107117, -0.01387386117130518]","[0.8909389972686768, 0.2212107628583908, -0.04221851006150246]","[0.8906163573265076, 0.22188793122768402, -0.0421975702047348]","[0.8902704119682312, 0.22213830053806305, -0.04234173521399498]","[0.872768759727478, 0.2285318821668625, 0.024348093196749687]","[0.8800899386405945, 0.22791290283203125, -0.09383843839168549]","[0.8829102516174316, 0.2388925552368164, -0.002586272545158863]","[0.8855535984039307, 0.23933224380016327, -0.039787594228982925]","[0.8448571562767029, 0.27524706721305847, 0.094990573823452]","[0.8687664270401001, 0.2843949496746063, -0.15097370743751526]","[0.8588811755180359, 0.359637588262558, 0.23486053943634033]","[0.8689786791801453, 0.3840736448764801, -0.2203102707862854]","[0.9010449647903442, 0.33576202392578125, 0.3230423629283905]","[0.9180577993392944, 0.38883087038993835, -0.25512775778770447]","[0.9109625220298767, 0.33188846707344055, 0.3431118130683899]","[0.9309407472610474, 0.38802120089530945, -0.2854313254356384]","[0.9104849100112915, 0.32727494835853577, 0.31961295008659363]","[0.9301596283912659, 0.3781339228153229, -0.27619248628616333]","[0.9072814583778381, 0.327151358127594, 0.31738266348838806]","[0.924927294254303, 0.37772971391677856, -0.25251224637031555]","[0.8556024432182312, 0.43543723225593567, 0.07922299206256866]","[0.8753995299339294, 0.44736406207084656, -0.07927154749631882]","[0.8531637191772461, 0.5427714586257935, 0.22075602412223816]","[0.8570791482925415, 0.5515397191047668, 0.06841830909252167]","[0.8301215171813965, 0.6458211541175842, 0.37372785806655884]","[0.8443351984024048, 0.6696667075157166, 0.2250884473323822]","[0.8150352835655212, 0.6634424328804016, 0.38960784673690796]","[0.836841344833374, 0.6909170150756836, 0.24210619926452637]","[0.8473044037818909, 0.6568424701690674, 0.3776916563510895]","[0.8758396506309509, 0.6810057759284973, 0.2110246866941452]"
